complaint_text,label
"Dumulog sa tanggapan ng Barangay si Gng Teresa Mercado upang ireklamo si Gng Judith Sandoval dahil sa paghaharang at pagtatangal ng daan ng kanyang kapatid na si Michelle Franco. Ganon din ang parating at paririnig ng kung anu-ano sa kanila lalo’t higit sa kanyang kapatid.Pinagbantaan din ni Kimberly ang kanyang anak na si Ashley na sasaksakin. Ang hiling din niya ay makalampas ang mag asawa ni MIchelle sa daan papunta sa kanilang sariling bahay at tumira doon. Gusto rin niyang makuha ang pautang niyang karne kay Gng. Judith Sandoval na halagang 10,000 piso.",Money/Debt Disputes
"Dumulog sa tanggapan ng Barangay si Dison Wagan Maliglig upang isumbong ang nangyari sa kanya noong September 10, 2022 ng hapon. Nagiinom sila sa kasalan, kukuha siya ng tubig at pinalo siya sa batok ng bote ng emperador ni Armando Salcedo. Tapos umuwi na po siya.",Petty Criminal Offenses
"Dumulog sa tanggapan ng Barangay si G. Dionisio Reyes upang ireklamo si Engr. Castillo Reyes, dahil pinasukatan ni Ernesto Castillo at tinanggal ang bakod ng lupang pinangangalagaan niya. Ayon sa kanya. Engr. Ernesto Castillo siya ang tagapamahala ng ng lupa ng kanyang kapatid na si Horasio Castillo na mismong may-ari ng lupa. Subalit wala naman siyang maipakitang dokumento na siya ang may-ari ng lupang iyon. Andon si Kapitan kasama ang mga Barangay Tanod at hindi niya itinitigil ang pagbabaklas ng bakod at pagsusukat. SInabi pa ni Engr. Castillo na “walang bisa ang Board of Chairman at Korte”",Property Disputes
"Dumulog sa tanggapan ng Barangay si Gng. Nida Maldo upang idulog ang nangyari sa kanyang anak na si Edwin. Ayon sa kanya, sinabi ni “Nelia” na nanilip daw ang kanyang anak na si Edwin sa batang si Kate. Ayon pa kay Nelia, kitang kita niya na si Edwin ang naninilip at ilang beses daw niyang nakikitang “nagsasalsal” at sa bahay nila nakaharap. Umimik pa si Nelia na kaya di nakikialam si Ipoy ay tutuktukan na lang daw niya pag nakasalubong. Kaya siya ay nangangamba para sa kaligtasan ng kanyang anak na si Edwin.",Petty Criminal Offenses
"Dumulog sa tanggapan ng Barangay si Gng. Myrna Dela Rosa Vergara sapat na gulang naninirahan at may pahatirang sulat sa Barangay Isabang, Lucena City. Para ireklamo ang kanyang asawa na si Edwin Vergara dahil sa hindi pagbibigay ng suporta sa kanyang mga anak at pagdadala ng ibang babae sa kanilang bahay sa Barang San Jose, Tiaong, Quezon. Nais nyang makaharap ang kanyang asawa para sustento at maipa-ban sila ng kanyang kinakasama. Ayon sa kanya kinukunsinte ng kanyang mga kapatid ang kanyang asawa kaya nakakatira sa kanilang bahay",Family Matters
Dumulog sa tanggapan ng Barangay si Gng. Demetria U. Reyes upang ipagbigay alam na ang kanyang Senior ID ay nagamit ng ibang tao upang magpakabit ng telepono sa PLDT. Ayon sa kanya mag aapply sana siya sa PLDT ngunit sabi sa kanya ay meron siyang existing account na may balance o utang kaya na blocklist siya sa PLDT. Siya ay nababahala sapagkat baka kung saan saan pa magamit ang pangalan niya / Senior ID. Ang pagtataka lang po pati niya ay hawak niya ang kanyang Senior ID. Paanong nahawakan ng taong iyon ang kanyang ID o kopya ng kanyang ID,Money/Debt Disputes
Dumulog sa tanggapan ng Barangay si Gng. Maria Teresa Plata upang humiling na makaharap si Gng. Sheryll Silang sa barangay. Ayon sa kanya meron pagkakautang si Sheryll sa kanila noong March 2022. Nagkaroon sila ng kasunduan sa pagitan nilang dalawa subalit hindi tumupad si Sheryll sa kanilang usapan.,Money/Debt Disputes
"Ayon kay G. Ramil Robles pinakyaw nila ng 24k ang sinturis nila G. Delio Moog. Pero noong Disyembre 29, nagpunta sila para mamuti ay wala ng bunga at ito ay naipapakyaw na sa iba.",Money/Debt Disputes
"Dumulog sa tanggapan ng Barangay si Gng. Evangeline Manalo Baticuas upang isalaysay ang nangyari sa bahay ni Maribel Maldo na kanyang pinangangalagaan. Ayon sa kanya pinasok ang bahay nila noonf Dec. 31 ng gabi. Natagpuan nilang sira ang mga door lock at haluhog ang mga gamit sa kabinet. Bago pa nangyari ang pamamasok lagi silang nawawalan ng bibe at pabo. Nais din nilang bakuran ang daan sa tabi nila, sapagkat wala naman silang binibigay na right of way sa daang iyon. Bilang o upang mabawasan ang kanilang pangamba, sa nawawala at sa nangyari sa kanilang bahay. Meron namang dadaanang daan ang mga dating dumadaan pati mga sasakyan 4 wheels at mga motor",Petty Criminal Offenses
Dumulog sa tanggapan ng Barangay si Gng. Melinda de Alday upang idulog ang problema tungkol sa bagong bayaw na si Ramil Go. Ayon sa kanila ay umulit na naman sa pang bubully sa kanyang anak na si Johnreck. SI Johnreck ay batang 16 yrs old at medyo late ang pag-iisip. Nahingi sila ng tulong sa Barangay upang makaharap si Rolly Go.,Family Matters
"Dumulog sa tanggapan ng Barangay si G. Dominggo Bathan, representative ng Tiaong Water District para ireport ang 2 butas na abang para lagyan ng poste. Ayon sa kanya ay nabasag ang tubo ng tubig sa mga hukay na nabanggit.",Money/Debt Disputes
"Dumulog sa tanggapan ng Barangay si Gng Erlinda isabedra, manugang ni Angelina Isabedra, upang isalaysay ang nangyari sa kanya. Nakatayo siya sa may bahay malapit sa Barangay Hall, Dumaan si Ronel “Dame” Atienza at Leordeline Atienza sinabihan siya “putang ina nyong mag bianan kami daw ay umuwi na” magkakamatayan daw ngayong maghapon pag di tumigil",Money/Debt Disputes
"Dumulog sa tanggapan ng Barangay si Gng Teresa Mercado upang isalaysay ang nangyari sa kanyang asawa. Ayon sa kanya inutusan niya ang kanyang asawa na si Narciso Mercado na maghanap ng bulaw kasama ni Jose Silang. Papunta sila dapat ng Cabay diretso San Isidro. Doon sila nagtagpo sa kubo ni kuya Jose Silang, Paglabas nila doon ayon sa nakakita di umano kinuha sila ng mga pulis at nakilala ang driver na si Gabby Manalo. Nangyari ang insidente humigit kumulang 1:30 ng hapon. Ayon parin sa nakasaksi ay hindi naka uniporme ang mga di umanoy pulis.",Family Matters
"Dumulog sa tanggapan ng Barangay si G. Francisco Calabia at Engr. Castillo kasama si Barangay Florencio Monticer upang isalaysay ang nangyari kanina sa kanilang lupa. Ayon kay G. Francisco “Isko”, nagpa traktora sila sa lupain ni Engr. Castillo, ngayong ika - 27 ng Pebrero, humigit kumulang sa ika - 9 ng umaga. Habang nag tatraktora ay iniharang ang motor ng anak ni Boy Reyes kasama si Konsehal Leo at pinatitigil ang pagtatraktora, at pag itutuloy ay buhay ang kapalit sabi ni “Boy” Dionisio Reyes.",Property Disputes
"Dumulog sa tanggapan ng barangay si Rolly S. Angay upang ipagbigay alam na ang ang motor ay kanyang binayaw kawasaki single series BC175J model 2019 chasis no. BC175J - BB42741 Engine No. BC175A EBC0985 kay G. Leonel Jaca delas Santos may pahatirang sulat sa Lot 20 Block 8 Sunrise Village Brgy. Baguio Tayabas City Quezon sa halagang Tatlumpong Libong Piso. (₱30,000.00)",Property Disputes
Dumulog sa tanggapan ng Barangay si John Mark Curit sapat na gulang naninirahan at may pahatirang sulat sa Barangay San Jose Tiaong Quezon upang isumbong ang ginagawang pananakot sa text o chat ng kanilang dating stepfather na ni Rolly Francisco taga Bugnaw Tiaong Quezon,Neighbor Disputes
"Dumulog sa tanggapan ng Barangay si Maribel Maldo sapot sa gulang, naninirahan at may pahatirang sulat sa purok Centro Brgy San Jose Tiaong Quezon upang idulog ang kanyang problema. May tumawag daw po sa kanya ang knayang Tiyo si Aporcino Maldo ang sabi ay kailangan ko daw pong umuwi at may nagsabi na ipinapapatay ko daw po si kuya George, ang inutusan ko daw po ay si Ramon Magundayao. Magbabayad daw po ako/siya ng 30k.",Money/Debt Disputes
Ayon kay Dante at asawang Alicia Reyes ipinagsakalat daw ni Gerry na kalbit daw niya si Rolly Cuadro. “Kinukulit pa si Alice” ito ang salitang nagmula kay Gerry kay Edilito De Alday Reyes.,Neighbor Disputes
Dumulog sa tanggapan si G. Dionisio Reyes upang isumbong si Arnel Boy Reyes dahil binantaan ako na ako daw ay mapapalibing sa lupaing aking sinasaka.,Property Disputes
"Dumulog sa tanggapan ng Barangay si G. Bernardo Rivera at Gng. Julieta Reyes upang isalaysay ang nangyari noong ika-11 ng Agosto 2023. Ayon sa kanila, nalaman ni Punong Opo si Julieta na nawawala ang kanyang mga gamit gaya ng I.D. SSS ATM, 2 passbook dala ni Rolando Sampaga. Umalis na si Rolando na dala ang mga nasabing nawawala. Hiling ko lang po wag na syang makapunta dito sa atin/sa amin.",Property Disputes
"Dumulog sa tanggapan ng Barangay si G. Marimar Gonzales taga Cassandra, Quipot upang idulog ang nangyari sa kanila kaninang umaga. Ayon sa kanya, nakatigil ang sidecar ng maggugulay na pagmamay-ari ni Reynaldo Silang. At nasabitan niya ng bubong ng kanyang sidecar ni Reynaldo ng kanyang sidecar at nahagip ang isa niyang customer na si Roselle Casabal. May pasa ang kanyang kanang binti. Ako po ay humihingi ng dispensa sa kanila. Anuman pong mangyari ay handa naman po akong makipag tulungan.",Property Disputes
"Dumulog sa tanggapan ng Barangay si G. Joel Lawag sapat na gulang at may pahatirang sulat sa Barangay Lumingon, Tiaong Quezon upang ireklamo si G. Marcelo Barrecena ukol sa kanyang pagkakautang.",Money/Debt Disputes
Dumulog sa tanggapan ng Barangay si Gng. Judith Sandoval sapagkat ang kontador niya ng Meralco ay nabasag dahil sa aksidenteng pagtumba ng kawayan.,Neighbor Disputes
"Dumulog sa tanggapan ng Barangay si Gng. Mylene Moog upang ipatala na pumasok sa aming bakuran si Leonel Vergara alas 7 ng gabi at may dalang kutsilyo. Hindi naman namin alam kung anong gagawin, sa takot ko ay tumakbo na ako paloob at tumawag ng barangay.",Petty Criminal Offenses
Dumulog sa tanggapan ng Barangay si G. Ronato Gahuman at isinalaysay ang nangyari sa kanila noong ika-31 ng Marso 2024 sa ganap na humigit kumulang ika-7 ng gabi. Ayon sa kanya nagwala si Leonil Vingua at nasipa ang motor na ginagawa ng kunyang anak at kanyang inawat si Leonil. Hanggang sa ng inawat niya ay tumakbo na si Leonil at hindi na niya alam kung saan nagpunta.,Family Matters
Dumulog sa tanggapan ng Barangay si G. Ronnel Malabanan para bawiin ang kanyang sinabi / blotter noong ika-7 ng Abril 2024 tungkol kila Delio Moog at Mailyn Moog.,Property Disputes
"Dumulog sa tanggapan ng Brgy si G. Melucio Portas Sr. 70 yrs old, lalaki, kasal, may pahatirang sulat sa Purok Centro, Brgy San Jose T.Q. upang idulog ang lumang sumbong tungkol kay G. Rey Alvin Soriano, sapat na gulang may pahatirang sulat sa Purok Gitna-Centro San Jose T.Q. Multicab ni G. Melucio ay ipinakontrata ng 41k. ng makalas ay nag pabili ng presa less than 15k. Kinuha ang makina ng multicab sa bahay nila noong mahigit isang linggo na. Dinala ni G. Melucio sa talyer ni Rey Alvin. Nang maayos niyan ayaw ikabit ang makina kaya gusto niyang makausap si Rey Alvin sa Brgy.",Family Matters
"Dumulog sa tanggapan ng Barangay si G. Melvin Portes Jr., 36 yrs old, naninirahan at may paninirahang sulat sa Purok Grotto Brgy. San Jose upang ireklamo si G. Reniel Soriano, Kap. Roderick Soriano, dahil sa ang ginawa nila kay Melvin. Kabilang sa mga ito ang oral defamation, emotional damage at psychological distress at economical damages. Ganun din ang psychological trauma. Humihiling siya na makaharap ang mga nabanggit sa tanggapan ng barangay.",Neighbor Disputes
"Dumulog sa tanggapan ng Barangay si G. Gil Martinez upang idulog ang reklamo nila kay G. Sergani Sandoval. Ayon sa kanya, kumuha ng pera si Sergani Sandoval sa samahan ng irrigators halagang 50,000, at simula noong nakuha ay hindi nagbabayad ng interest.",Money/Debt Disputes
Si Dumolog ang tanggapan Barangay si Raven Bianca upang idulog ang problema nya sa nagsgas na motor na minamaneho nina Kian De Chaves at Andrey Barcelona. Nais niyang makausap ang mga magulang ng bata upang pag usapan ang nasabing problema.,Property Disputes
Dumolog sa tanggapan ng Brgy si Gng Lory Ayono dahil sa madalas na pananigaw ng kanyang hipag at ang huli ay ang kanyang biyenan na may dalang itak. Nais niyang makaharap sa Barangay at magkaroon ng maayos na usapan.,Family Matters
Dumulog sa tanggapan ng barangay si Gng. Beverly Cuala upang idulog si Gng. Noraida Centeno sa mga sinasabing kung anu-anu. Si Delia Diaz at si Apple Barcelona ang pinagsasabihan ng kung anu-anu. Paninirang puri ang kanilang ginagawa. Gusto ko siyang makaharap ng personal sa barangay.,Neighbor Disputes
Dumulog sa tanggapan ng Brgy si Marites Onera upang isumbong ang nangyari sa kanyang anak na si Warren at Ramon Magundayao tungkol sa mga shabu. Pinagsabihan daw di umano ni Dado ang anak na si Ramon at ang sabi ay pag nakita niya si Warren ay papatayin niya. Hindi ko alam ang kanyang kinatatakutan si Dado. Hindi ko alam kung ano ang ikinagalit nya sa anak ko.,Petty Criminal Offenses
Dumulog sa tanggapan si Jaina Maliglig gawa ng kanyang bayaw na si Jayson Maliglig dahil naniningil ng utang ng kanyang kapatid ay may dalang itak. Kami ay natatakot sa kanya.,Money/Debt Disputes
"(Nov. 25, 2024) Dumulog sa tanggapan ng Brgy. sina Mr. and Mrs. Ronald Vergara at Myla Vergara, upang ireklamo si G. Rogelio Barcelona pareho silang taga-Purok Sinturisan. Sa kadahilanang may pinutol si Mr. Vergara na puno ng Aratiles na sakop ng kanyang alagaan, dahil dito nagalit si Mr. Barcelona at nang magka salubong sila ay sinabihan nya ito ng sa susunod na magputol ulit ng puno ay papatayin nya ito.",Property Disputes
Dumulog sa tanggapan ng Brgy. si Gng. Eugenia Barcelona upang isambong si Gng. Myla Vergara pawang nasa sapat na galang nanirahan sa purok Sintorisan Brgy. San Jose T.Q.. ayon sa kanya ay totoo siya ay minura at dinuro ni Gng. Myla Vergara kaya siya ay gustong makaharap sa barangay. Na kahit nasa loob ng pamamahay ay tuloy ang panduduro sa kanya.,Property Disputes
Dumulog sa tanggapan ng Barangay si Gng. Maricel Hermosa upang ipatala ang nangyari sa kanya kanina. Habang siya ay naglalakad ay nasabitan siya ng tricycle na minamaneho ni Reniel Soriano. Naapektuhan ang kanyang dalawang paa na naging sanhi ng pamamaga at pagkapilay.,Property Disputes
"Dumulog sa tanggapan ng Barangay si Syra Reyes, 13 taong gulang upang ireklamo sina Roy Anonuevo at Noriel Gonzalo. Ayon sa kanya siya ay hinipuan ngunit sa katagalan ay hindi na niya matandaan kung kailan. Nalaman na lamang ng mga magulang nito dahil sinabi sa kanila ng kanyang teacher. Ang mga tinutukoy na mga lalaki ay pawang mga pinsan nila.",Property Disputes
"Dumulog sa tanggapan ng Barangay si Gng. Nancy Reyes upang ipagbigay alam na ang kanyang magtitrinda ng pares sa Bay Laguna na si Jonnel Umali ay tinangay ang benta ng kanilang paresan na nagkakahalaga ng p10,000 piso noong ika - Feb. 18, 2025 mga 6:00 am. Wala na siyang paramdam hindi nasagot sa tawag at chat. Sa ngayon ay hindi nila alam kung saan natuloy si Jonnel Umali.",Neighbor Disputes
"Dumulog sa tanggapan ng Barangay si Edison Reyes upang ipatala na ang kanyang nagtitinda sa parisan na si Jonnel Umali ay tinangay ang benta ng kanilang paresan na nagkakahalaga ng 15,000.",Property Disputes
"Dumulog sa tanggapan ng barangay si Gng. Flora Silang sapat na gulang naninirahan sa Purok Siturisan Brgy. San Jose T.Q. Ayon sa kanya ay noong ika-9 ng Abril habang sila ay papuntang bayan ganap humigit kumulang ika-2 ng hapon sakay sakay sa tricycle ni G. Nomer Reyes ay nakasalubong ang tricycle ni “Ising” kaya umiwas, nahulog sa gutter at bumangga sa poste sa tapat ni Tacio. Kaya siya ay napabitin at nakalikar ng tricycle kaya napilot ang litid ng kanyang braso ng kanan.",Money/Debt Disputes
Dumulog sa tanggapan ng Brgy. si kagawad Dominador Brad sapagkat ayon daw sa kapatid ni “Popolo” na si Daisy mahilig na sinibi ng kanyang kapatid na papatayin daw siya habang nag hahasa ng gulok. Sa oras na iyon na sinabi ni Daisy sa kanya ay kaharap sila kuya Larry at kuyal Ronnel. Sinubukan nilang kausapin at pinuntahan sa kanila subalit di makausap ng ayos at naghahasa ng gulok.,Petty Criminal Offenses
Dumulog sa tanggapan ng Brgy. si Gng. Ariene Macaraig sapat sa gulang may parating sulat sa Purok Centro Brgy. San Jose. Tungkol sa kanyang taya at sa kubrador na si Miguel at kabo na si Karen De Chavez. Ayon sa kanya ay tinamaan siya sa 10x37 ng tumbok 40 pero ang sabi ay sahod 10. wala naman maipakita lastilyas. Nagsalita rin sa kanya ang masamama at mga bastos na salita si Karen De Chavez. Kaya nais niyang makausap sa barangay ang mga taong nabanggit.,Contract Disputes
Dumalog sa tanggapan ng Barangay si Niklon Sandoval upang hilingin na makaharap sina wendell at Stephanie ukol sa perang pinalabas niya sa mag asawa. Ayon sa kanya ay may 4 na buwan ng di nag bibigyan hanggang sa hindi na rin sila nirereplyan sa mga chat.,Neighbor Disputes
